ClosingStrategy,ObservationTableCEXHandler,SUL name,Seed,Cache,EquivalenceOracle,Method,Iter,HypSize,CESize,Info
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,4,19,5,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,5,21,7,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,6,22,8,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,7,23,8,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,8,26,9,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,9,39,9,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,10,41,10,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,11,46,10,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,12,47,10,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,13,49,14,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,14,50,14,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,15,53,14,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,16,55,15,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Server.dot,1642682888507,Y,"SouchaCTT(hsi,1)",L*M,17,57,0,KxA7
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682888544,Y,"SouchaCTT(hsi,1)",L*M,1,13,5,IV15
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682888544,Y,"SouchaCTT(hsi,1)",L*M,2,14,5,IV15
CloseFirst,RivestSchapire,TCP_Linux_Client.dot,1642682888544,Y,"SouchaCTT(hsi,1)",L*M,3,15,0,IV15
CloseFirst,RivestSchapire,TCP_Windows8_Client.dot,1642682889235,Y,"SouchaCTT(hsi,1)",L*M,1,11,5,zF5A
CloseFirst,RivestSchapire,TCP_Windows8_Client.dot,1642682889235,Y,"SouchaCTT(hsi,1)",L*M,2,13,0,zF5A
CloseFirst,RivestSchapire,TCP_Windows8_Server.dot,1642682889346,Y,"SouchaCTT(hsi,1)",L*M,1,13,3,wOx2
